Entity;Type;Superclass(es);BiomarkerOf;Contains;
'wholemeal bread';Class;'Whole grain cereal products';;;
'diet coke';Class;'Coca Cola Zero';;;
weetabix;Class;wholegrain;;;
philadelphia;Class;'cream cheese';;;
wholemeal;Class;'Whole grain cereal products';;;
raki;Class;'beverage (alcoholic, distilled)';;;
'zero coke';Class;'Coca Cola Zero';;;
coke;Class;'Coca Cola';;;
'3'-methylcatechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''apple (whole)''	''red wine''	''berry (whole, raw)''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''";;
'3'-methylcatechin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''tea based beverage product''	''cacao food product''	''apple (whole)''	''berry (whole, raw)''	''red wine''	''nut (whole or part)''";;
'3'-methylepicatechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;
'3'-methylepicatechin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''red wine''	''apple (whole)''	''berry (whole, raw)''";;
'3'-methylepicatechin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''	''red wine''";;
'4'-methylepicatechin 3'-glucuronide';Class;'Flavonoid O-glucuronides';"''tea based beverage product''	''cacao food product''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''	''red wine''";;
'4'-methylepicatechin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''	''red wine''	''tea based beverage product''	''cacao food product''";;
'4'-methylepicatechin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''red wine''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''";;
'catechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''red wine''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''	''tea based beverage product''	''cacao food product''";;
'catechin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''red wine''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''	''cacao food product''	''tea based beverage product''";;
'epicatechin 3'-glucuronide';Class;'Flavonoid O-glucuronides';"''red wine''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''";;
'epicatechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''	''tea based beverage product''	''cacao food product''";;
'epicatechin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''tea based beverage product''	''cacao food product''	''red wine''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''";;
'epicatechin 7-glucuronide';Class;Flavonoid-7-O-glucuronides;"''tea based beverage product''	''cacao food product''	''red wine''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''";;
'catechin 3'-sulfate';Class;Catechins;"''tea based beverage product''	''cacao food product''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''";;
'catechin 4'-sulfate';Class;Catechins;"''tea based beverage product''	''cacao food product''	''apple (whole)''	''berry (whole, raw)''	''nut (whole or part)''	''red wine''";;
'catechin 5-sulfate';Class;Catechins;"''tea based beverage product''	''cacao food product''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''";;
'epicatechin 3-sulfate';Class;Catechins;"''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''	''cacao food product''	''tea based beverage product''";;
'epicatechin 3'-sulfate';Class;Catechins;"''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''";;
'epicatechin 4'-sulfate';Class;Catechins;"''berry (whole, raw)''	''nut (whole or part)''	''red wine''	''apple (whole)''	''tea based beverage product''	''cacao food product''";;
'epicatechin 5-sulfate';Class;Catechins;"''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''	''tea based beverage product''	''cacao food product''";;
'epicatechin 7-sulfate';Class;Catechins;"''berry (whole, raw)''	''apple (whole)''	''red wine''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''";;
'3,4-dihydroxyphenylacetic acid 3-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''olive oil''	''vegetable food product''	''nut (whole or part)''	''red wine''	''legume food product''";;
'3,4-dihydroxyphenylacetic acid 4-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''olive oil''	''legume food product''	''red wine''";;
'3,4-dihydroxyphenylacetic acid 3-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''red wine''";;
'3,4-dihydroxyphenylacetic acid 4-sulfate';Class;Phenylsulfates;"''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''olive oil''	''plant fruit food product''";;
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''red wine''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''";;
'5-(3',5'-dihydroxyphenyl)-γ-valerolactone';Class;Resorcinols;"''cacao food product''	''tea based beverage product''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''	''red wine''";;
'5-(3'-hydroxyphenyl)-γ-valerolactone';Class;'1-hydroxy-2-unsubstituted benzenoids';"''berry (whole, raw)''	''apple (whole)''	''red wine''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''";;
'2,3-dihydroxybenzoic acid 2-glucuronide';Class;'Phenolic glycosides';"''olive oil''	''red wine''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'2,3-dihydroxybenzoic acid 3-glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''olive oil''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'2,4-dihydroxybenzoic acid 2-glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''olive oil''	''red wine''	''legume food product''	''plant fruit food product''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''";;
'2,4-dihydroxybenzoic acid 4-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;
'2,6-dihydroxybenzoic acid 2-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''olive oil''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''";;
'2,6-dihydroxybenzoic acid 6-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''olive oil''	''legume food product''	''red wine''	''nut (whole or part)''";;
'2,3-dihydroxybenzoic acid 3-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''olive oil''	''plant fruit food product''	''red wine''";;
'2,4-dihydroxybenzoic acid 4-sulfate';Class;Phenylsulfates;"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''Whole grain cereal products''	''red wine''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''olive oil''	''plant fruit food product''";;
'2,5-dihydroxybenzoic acid 5-sulfate';Class;Phenylsulfates;"''olive oil''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''";;
'hesperetin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''tomato (whole, raw)''	''citrus fruit food product''";;
'hesperetin 3'-sulfate';Class;'4'-O-methylated flavonoids';"''citrus fruit food product''	''tomato (whole, raw)''";;
'hesperetin 5-sulfate';Class;'Flavonoid O-glucuronides';"''citrus fruit food product''	''tomato (whole, raw)''";;
'3-(3-hydroxyphenyl)propionic acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''olive oil''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;
'3-(4-hydroxyphenyl)propionic acid glucuronide';Class;'Glucuronic acid derivatives';"''nut (whole or part)''	''vegetable food product''	''red wine''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;
'3-(4-hydroxyphenyl)propionic acid sulfate';Class;Phenylsulfates;"''legume food product''	''plant fruit food product''	''vegetable food product''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''";;
'3'-methylepicatechin 4'-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''cacao food product''	''apple (whole)''	''red wine''	''nut (whole or part)''";;
'3'-methylepicatechin 5-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''red wine''";;
'3'-methylepicatechin 7-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''red wine''	''apple (whole)''	''cacao food product''	''nut (whole or part)''";;
'4'-methylepicatechin 3'-sulfate';Class;Catechins;"''tea based beverage product''	''red wine''	''berry (whole, raw)''	''nut (whole or part)''	''apple (whole)''	''cacao food product''";;
'4'-methylepicatechin 5-sulfate';Class;Catechins;"''tea based beverage product''	''berry (whole, raw)''	''apple (whole)''	''red wine''	''nut (whole or part)''	''cacao food product''";;
'4'-methylepicatechin 7-sulfate';Class;Catechins;"''cacao food product''	''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''	''tea based beverage product''";;
'3-methylgallic acid 4-glucuronide';Class;'Hydrolyzable tannins';"''cacao food product''	''olive oil''	''red wine''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''";;
'3-methylgallic acid 5-glucuronide';Class;'Hydrolyzable tannins';"''vegetable food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;
'4-methylgallic acid 3-glucuronide';Class;'Hydrolyzable tannins';"''nut (whole or part)''	''vegetable food product''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''legume food product''";;
'3-methylgallic acid 4-sulfate';Class;'Gallic acid and derivatives';"''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''red wine''	''legume food product''";;
'3-methylgallic acid 5-sulfate';Class;'Gallic acid and derivatives';"''legume food product''	''plant fruit food product''	''vegetable food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''";;
'4-methylgallic acid 3-sulfate';Class;'Gallic acid and derivatives';"''plant fruit food product''	''legume food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''";;
'1-methylpyrogallol 2-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''vegetable food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''olive oil''";;
'1-methylpyrogallol 3-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''vegetable food product''	''red wine''	''coffee based beverage product''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''";;
'2-methylpyrogallol 1-glucuronide';Class;'Phenolic glycosides';"''olive oil''	''legume food product''	''vegetable food product''	''Whole grain cereal products''	''red wine''	''nut (whole or part)''	''coffee based beverage product''	''plant fruit food product''	''tea based beverage product''	''cacao food product''";;
'1-methylpyrogallol 2-sulfate';Class;Phenylsulfates;"''olive oil''	''legume food product''	''vegetable food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''";;
'1-methylpyrogallol 3-sulfate';Class;Phenylsulfates;"''cacao food product''	''tea based beverage product''	''olive oil''	''legume food product''	''vegetable food product''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''coffee based beverage product''";;
'2-methylpyrogallol 1-sulfate';Class;Phenylsulfates;"''vegetable food product''	''Whole grain cereal products''	''olive oil''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''plant fruit food product''	''legume food product''	''nut (whole or part)''	''red wine''";;
'naringenin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''citrus fruit food product''	''tomato (whole, raw)''";;
'naringenin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''citrus fruit food product''	''tomato (whole, raw)''";;
'naringenin 4'-sulfate';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;
'naringenin 5-sulfate';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;
'naringenin 7-sulfate';Class;Flavanones;"''tomato (whole, raw)''	''citrus fruit food product''";;
'urolithin a 3-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'urolithin a 8-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'urolithin a 3-sulfate';Class;'Coumarins and derivatives';"''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'urolithin a 8-sulfate';Class;'Coumarins and derivatives';"''red wine''	''berry (whole, raw)''	''nut (whole or part)''";;
'5-(4’-hydroxyphenyl)-γ-valerolactone 4'-glucuronide';Class;'Phenolic glycosides';"''berry (whole, raw)''	''tea based beverage product''	''cacao food product''	''apple (whole)''	''red wine''	''nut (whole or part)''";;
'5-(4’-hydroxyphenyl)-γ-valerolactone';Class;'1-hydroxy-2-unsubstituted benzenoids';"''berry (whole, raw)''	''red wine''	''apple (whole)''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''";;
'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid';Class;'Medium-chain hydroxy acids and derivatives';"''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''";;
'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid glucuronide';Class;Saccharolipids;"''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''";;
'4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid sulfate';Class;Resorcinols;"''berry (whole, raw)''	''apple (whole)''	''nut (whole or part)''	''red wine''	''cacao food product''	''tea based beverage product''";;
'3,4-dihydroxyphenylvaleric acid';Class;Catechols;"''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''";;
'3,4-dihydroxyphenylvaleric acid 3 glucuronide';Class;Saccharolipids;"''tea based beverage product''	''cacao food product''	''red wine''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;
'3,4-dihydroxyphenylvaleric acid 3 sulfate';Class;Catechols;"''tea based beverage product''	''cacao food product''	''red wine''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;
'3,4-dihydroxyphenylvaleric acid 4 glucuronide';Class;Saccharolipids;"''tea based beverage product''	''cacao food product''	''apple (whole)''	''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;
'3,4-dihydroxyphenylvaleric acid 4 sulfate';Class;Catechols;"''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''	''red wine''";;
'3,5-dihydroxyphenylvaleric acid';Class;Resorcinols;"''Whole grain cereal products''";;
'3,5-dihydroxyphenylvaleric acid glucuronide';Class;Saccharolipids;"''Whole grain cereal products''";;
'3,5-dihydroxyphenylvaleric acid sulfate';Class;Resorcinols;"''Whole grain cereal products''";;
'3,5-dihydroxycinnamic acid';Class;'Hydroxycinnamic acids';"''Whole grain cereal products''";;
'3,5-dihydroxycinnamic acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''";;
'3,5-dihydroxycinnamic acid sulfate';Class;Phenylsulfates;"''Whole grain cereal products''";;
'n-(3,5-dihydroxybenzoyl)glycine';Class;'Hippuric acids';"''Whole grain cereal products''";;
'alanine betaine';Class;'Alanine and derivatives';"''Whole grain cereal products''";;
'valine betaine';Class;'Alpha amino acids';"''Whole grain cereal products''";;
'phenylalanine betaine';Class;'Phenylalanine and derivatives';"''Whole grain cereal products''";;
'pipecolic acid betaine';Class;'Alpha amino acids';"''Whole grain cereal products''";;
'phytic acid';Class;'Inositol phosphates';"''nut (whole or part)''	''soybean (whole)''	''legume food product''	''Whole grain cereal products''";;
'meat food product';Class;Foods;;;
'cheese food product';Class;'milk product (fermented)';;;
'yogurt food product';Class;'milk product (fermented)';;;
'beef food product';Class;cattle;;;
'seafood product';Class;'meat food product';;;
'plant fruit food product';Class;'Fruits and vegetables';;;
'apple juice';Class;'apple (whole)';;;
'bacon food product';Class;swine;;;
'poultry meat food product';Class;'Lean meat';;;
'tea based beverage product';Class;Infusions;;;
'coffee based beverage product';Class;'beverage food product';;;
'solanaceous root food product';Class;'vegetable food product';;;
'citrus fruit food product';Class;'plant fruit food product';;;
'pomaceous fruit food product';Class;'plant fruit food product';;;
'cruciferous food product';Class;'vegetable food product';;;
'bread food product';Class;'grain product';;;
'rye food product';Class;'Whole grain cereal products';;;
'pulse food product';Class;'legume food product';;;
'cacao food product';Class;Foods;;;
'spice or herb';Class;Foods;;;
'dairy food product';Class;Foods;;;
'milk or milk based food product';Class;'dairy food product';;;
'vegetable food product';Class;'Fruits and vegetables';;;
'legume food product';Class;'Nuts and legumes';;;
'egg food product';Class;Foods;;;
'hen egg food product';Class;'egg food product';;;
'cake food product';Class;'bakery product';;"'butter'	'flour'";
mushroom;Class;'mushroom food product';;;
'lasagne food product';Class;'Non vegetarian dishes';;"''wine (food product)''	''onion (whole, raw)''	''garlic (whole, raw)''	'pasta'	''olive oil''	''cow milk (fluid)''	''tomato (whole, raw)''	'veal'	''beef food product''";
'black pepper food product';Class;spice;;;
'cereal food product';Class;'grain plant';;;
'corn (vegetable) food product';Class;'Dark yellow vegetables';;;
'field corn food product';Class;'Whole grain cereal products';;;
'gourd vegetable food product';Class;'plant fruit food product';;;
'hot pepper vegetable food product';Class;'Dark yellow vegetables';;;
'lettuce vegetable food product';Class;'leafy vegetable';;;
'plant based alcoholic beverage';Class;'beverage food product';;;
'prune food product';Class;'stone fruit food product';;;
'salmon food product';Class;bluefish;;;
'sandwich food product';Class;'multi-component food';;;
'soup food product';Class;'multi-component food';;;
'stone fruit food product';Class;'plant fruit food product';;;
'sweet potato vegetable food product';Class;'solanaceous root food product';;;
'water food product';Class;'beverage food product';;;
'roquefort cheese';Class;'cheese food product';;;
'mushroom food product';Class;'vegetable food product';;;
endive;Class;'leafy vegetable';;;
'biscuit (hard) food product';Class;'bakery product';;"''table salt''	'wholemeal'	''white sugar''	'butter'	'flour'";
'apple (whole)';Class;'pomaceous fruit food product';;;
'apple pie';Class;'bakery product';;"''hen egg (whole)''	'butter'	''brown sugar''	'flour'	''white sugar''	''apple (whole)''";
'multi-component food';Class;Foods;;;
'ham food product';Class;swine;;;
'shish kebab';Class;'Non vegetarian dishes';;"''meat food product''	''vegetable food product''	'flour'";
'chocolate brownie';Class;'bakery product';;"'flour'	''hen egg (whole)''	'butter'	'chocolate'	''white sugar''";
'lipid food product';Class;Foods;;;
cracker;Class;'bakery product';;"'flour'";
'ginger root';Class;spice;;;
'beef hamburger (dish)';Class;cattle;;;
'bean (whole)';Class;'pulse food product';;;
'black turtle bean (whole)';Class;'bean (whole)';;;
hazelnut;Class;'nut (whole or part)';;;
'yellow bell pepper (whole, raw)';Class;'Dark yellow vegetables';;;
'bell pepper';Class;'Dark yellow vegetables';;;
'shallot (whole, raw)';Class;'Onion family vegetables';;;
'cumin seed (whole, dried)';Class;spice;;;
herb;Class;'spice or herb';;;
hummus;Class;'Vegetarian dishes';;"''legume food product''	''garlic (whole, raw)''	''vegetable oil''";
'pomegranate (whole, raw)';Class;'berry (whole, raw)';;;
veal;Class;cattle;;;
'barley grain (whole, raw)';Class;'Whole grain cereal products';;;
stew;Class;'Non vegetarian dishes';;"''bell pepper''	''carrot root (whole, raw)''	''beef food product''	'mushroom'	''tomato (whole, raw)''	''potato (whole, raw)''	''onion (whole, raw)''";
'almond milk';Class;'almond (whole, raw)';;;
absinthe;Class;'beverage (alcoholic, distilled)';;;
museli;Class;'Other prepared foods';;"''cereal food product''	''plant fruit food product''	''nut (whole or part)''";
'tarte tropézienne';Class;'bakery product';;"'butter'	''white sugar''	'flour'	''lemon (whole, raw)''	''hen egg (whole)''	''cow milk (fluid)''";
'bolognese sauce';Class;'hot sauce';;"''beef food product''	''vegetable food product''	''tomato (whole, raw)''";
'beef bourguignon';Class;'Non vegetarian dishes';;"''beef food product''	''wine (food product)''";
'meat brochette';Class;'Non vegetarian dishes';;"''vegetable food product''	''meat food product''";
'carbonara sauce';Class;'hot sauce';;"''black pepper food product''	''cheese food product''	''olive oil''	''hen egg (whole)''	'pancetta'";
risotto;Class;'Vegetarian dishes';;"''garlic (whole, raw)''	''wine (food product)''	'mushroom'	''onion (whole, raw)''	'butter'	''rice grain food product''";
ratatouille;Class;'Vegetarian dishes';;"'herb'	''bell pepper''	''eggplant (whole, raw)''	''zucchini squash (whole)''	''tomato (whole, raw)''";
tartiflette;Class;'Non vegetarian dishes';;"''bacon food product''	''bell pepper''	''onion (whole, raw)''	''potato (whole, raw)''	''cheese food product''";
tajine;Class;'Non vegetarian dishes';;"''vegetable food product''	''meat food product''";
tabbouleh;Class;'Non vegetarian dishes';;"''lemon (whole, raw)''	''tomato (whole, raw)''	''meat food product''	''onion (whole, raw)''	''olive oil''";
sushi;Class;'Non vegetarian dishes';;"''soybean (whole)''	''rice grain food product''	''vegetable food product''	'fish'";
soufflé;Class;'bakery product';;"'butter'	''cheese food product''	'flour'	''hen egg (whole)''	''cow milk (fluid)''";
quenelle;Class;'Non vegetarian dishes';;"'butter'	'flour'	''cow milk (fluid)''	''meat food product''	''hen egg (whole)''";
prosciutto;Class;swine;;;
'parmesan cheese';Class;'cheese food product';;;
panini;Class;'Non vegetarian dishes';;"''meat food product''	''cheese food product''	'flour'	''vegetable food product''";
pancetta;Class;swine;;;
paella;Class;'Non vegetarian dishes';;"''rice grain food product''	''vegetable food product''	''meat food product''";
ox;Class;'Red meat';;;
omelette;Class;'Vegetarian dishes';;"''hen egg (whole)''	''cheese food product''";
moussaka;Class;'Vegetarian dishes';;"''eggplant (whole, raw)''	''tomato (whole, raw)''	''potato (whole, raw)''";
'mille-feuille pastry';Class;'bakery product';;"'butter'	''nut (whole or part)''	'flour'	''white sugar''	''cacao food product''";
mascarpone;Class;'cream cheese';;;
'india pale ale';Class;beer;;;
'strained yogurt';Class;'yogurt food product';;;
'Béchamel sauce';Class;'hot sauce';;"'butter'	''cow milk (fluid)''	'flour'";
'chicken curry';Class;'Non vegetarian dishes';;"'chicken'	'spice'	''tomato (whole, raw)''	''onion (whole, raw)''";
'hachis parmentier';Class;'Non vegetarian dishes';;"''vegetable food product''	''meat food product''	''potato (whole, raw)''";
'fondue savoyarde';Class;'Vegetarian dishes';;"''vegetable oil''	''cheese food product''";
'Burgundy fondue';Class;'Non vegetarian dishes';;"''vegetable oil''	''meat food product''";
fat;Class;'lipid food product';;;
'fig (whole)';Class;'plant fruit food product';;;
'flavouring additive';Class;Foods;;;
croziflette;Class;'Non vegetarian dishes';;"''cheese food product''	'pancetta'	'pasta'";
'Croque monsieur';Class;'Non vegetarian dishes';;"''black pepper food product''	''cheese food product''	'butter'	'flour'	''cow milk (fluid)''	''ham food product''";
'pork ribs';Class;swine;;;
fajita;Class;'Non vegetarian dishes';;"''meat food product''	''vegetable food product''	'flour'";
'cordon bleu (dish)';Class;'Non vegetarian dishes';;"'chicken'	''ham food product''	''cheese food product''";
'black coffee';Class;'coffee based beverage product';;;
tiramisu;Class;'bakery product';;"''white sugar''	''coffee based beverage product''	''cream cheese''	'cocoa'	''hen egg (whole)''	''biscuit (hard) food product''";
'red velvet';Class;'bakery product';;"'butter'	'flour'	'beetroot'	''white sugar''	'cocoa'";
'red tea';Class;'tea based beverage product';;;
raclette;Class;'Vegetarian dishes';;"''potato (whole, raw)''	''cheese food product''";
soup;Class;'soup food product';;"''vegetable food product''";
'White fish';Class;fish;;;
'spaghetti macaroni';Class;pasta;;;
'coffee (liquid drink)';Class;'coffee based beverage product';;;
'watermelon (whole, raw)';Class;'gourd vegetable food product';;;
'white bread';Class;'bread food product';;;
cocoa;Class;'cacao food product';;;
'orange juice';Class;'orange (whole, raw)';;;
paprika;Class;spice;;;
'nectarine (whole, raw)';Class;'stone fruit food product';;;
flour;Class;'grain product';;;
'grape (whole, raw)';Class;'plant fruit food product';;;
'brown rice food product';Class;'Whole grain cereal products';;;
cinnamon;Class;spice;;;
'tomato sauce';Class;'tomato (whole, raw)';;;
'blackberry (whole, raw)';Class;'berry (whole, raw)';;;
'cherry (whole, raw)';Class;'stone fruit food product';;;
'raisin (whole)';Class;'fruit (dried)';;;
'peanut (whole, raw)';Class;'nut (whole or part)';;;
'pea (whole)';Class;'pulse food product';;;
'cabbage (whole, raw)';Class;'cruciferous food product';;;
'almond (whole, raw)';Class;'nut (whole or part)';;;
sauerkraut;Class;'Vegetarian dishes';;"''cabbage (whole, raw)''";
'soybean (whole)';Class;'legume food product';;;
mayonnaise;Class;'Cold sauces';;"''vegetable oil''	''hen egg (whole)''";
'lemon (whole, raw)';Class;'citrus fruit food product';;;
'potato (whole, raw)';Class;'solanaceous root food product';;;
'tomato catsup';Class;'Cold sauces';;"''table salt''	''white sugar''	''tomato (whole, raw)''	'spice'";
'corn oil';Class;'vegetable oil';;;
'oregano (ground)';Class;herb;;;
'lowfat cow milk';Class;'cow milk (fluid)';;;
'yogurt (plain)';Class;'yogurt food product';;;
'cucumber (whole, raw)';Class;'Fruity vegetables';;;
'carrot root (whole, raw)';Class;'Dark yellow vegetables';;;
'squash (whole, raw)';Class;'Dark yellow vegetables';;;
'plum (whole, raw)';Class;'stone fruit food product';;;
cookie;Class;'bakery product';;"'butter'	''white sugar''	''table salt''	'flour'	'chocolate'	'wholemeal'";
'melon (raw)';Class;'gourd vegetable food product';;;
beer;Class;'Fermented alcohols';;;
brandy;Class;'beverage (alcoholic, distilled)';;;
fruitcake;Class;'bakery product';;"'flour'	'butter'	''plant fruit food product''";
'rice grain food product';Class;'grain product';;;
