"Entity","Superclass(es)","ChemSpider","HMDB","KEGG","PubChemCID","InChIKey","InChICode","FOBI"
"theaflavin","Flavan-3-ols","17216345","HMDB05788",NA,"22833651","MKTFRRIBCBTOKJ-CRFHJIRQSA-N","InChI=1S/C29H24O12/c30-12-4-17(32)14-8-20(35)28(40-22(14)6-12)11-1-10-2-16(25(37)27(39)24(10)26(38)19(34)3-11)29-21(36)9-15-18(33)5-13(31)7-23(15)41-29/h1-7,20-21,28-33,35-37,39H,8-9H2,(H,34,38)/t20-,21-,28-,29-/m1/s1","FOBI:030491"
"4-hydroxy-5-(3,4-dihydroxyphenyl)-valeric acid","Medium-chain hydroxy acids and derivatives",NA,NA,NA,"52920332","JDBYFCLHVYVXCX-UHFFFAOYSA-N","InChI=1S/C11H14O5/c12-8(2-4-11(15)16)5-7-1-3-9(13)10(14)6-7/h1,3,6,8,12-14H,2,4-5H2,(H,15,16)","FOBI:030492"
"4-hydroxy-5-(3,4-dihydroxyphenyl)-valeric acid 3-glucuronide","Saccharolipids",NA,NA,NA,NA,"BKJQCPDRWDNBIN-UHFFFAOYSA-N","InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-9(19)10(6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)","FOBI:030493"
"4-hydroxy-5-(3,4-dihydroxyphenyl)-valeric acid 4-glucuronide","Saccharolipids",NA,NA,NA,NA,"LLKUARGHNZMSRT-UHFFFAOYSA-N","InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-10(9(19)6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)","FOBI:030494"
"4-hydroxy-5-(3,4-dihydroxyphenyl)-valeric acid 3-sulfate","Sulfated fatty acids",NA,NA,NA,NA,"HROSNTXKMPHTSL-UHFFFAOYSA-N","InChI=1S/C11H14O8S/c12-8(2-4-11(14)15)5-7-1-3-9(13)10(6-7)19-20(16,17)18/h1,3,6,8,12-13H,2,4-5H2,(H,14,15)(H,16,17,18)","FOBI:030495"
"4-hydroxy-5-(3,4-dihydroxyphenyl)-valeric acid 4-sulfate","Catechols",NA,NA,NA,NA,"GSTPJGFSDIEVSY-UHFFFAOYSA-N","InChI=1S/C11H14O8S/c12-8(2-4-11(14)15)5-7-1-3-10(9(13)6-7)19-20(16,17)18/h1,3,6,8,12-13H,2,4-5H2,(H,14,15)(H,16,17,18)","FOBI:030496"
"5-(3-hydroxyphenyl)-γ-valerolactone 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"DPSUQBKEHXAIDY-YHNANPAJSA-N","InChI=1S/C17H20O9/c18-11-5-4-10(24-11)7-8-2-1-3-9(6-8)25-17-14(21)12(19)13(20)15(26-17)16(22)23/h1-3,6,10,12-15,17,19-21H,4-5,7H2,(H,22,23)/t10?,12-,13-,14+,15-,17+/m0/s1","FOBI:030497"
"5-(3-hydroxyphenyl)-γ-valerolactone 3-sulfate","Phenylsulfates",NA,NA,NA,"124202065","DPRDYFJWDRNYAZ-UHFFFAOYSA-N","InChI=1S/C11H12O6S/c12-11-5-4-9(16-11)6-8-2-1-3-10(7-8)17-18(13,14)15/h1-3,7,9H,4-6H2,(H,13,14,15)","FOBI:030498"
"5-(4-hydroxyphenyl)-γ-valerolactone 4-sulfate","Phenylsulfates",NA,NA,NA,NA,"HWTHTKOQADEPQM-UHFFFAOYSA-N","InChI=1S/C11H12O6S/c12-11-6-5-10(16-11)7-8-1-3-9(4-2-8)17-18(13,14)15/h1-4,10H,5-7H2,(H,13,14,15)","FOBI:030499"
"5-(3,4-dihydroxyphenyl)-γ-valerolactone","Catechols","134347",NA,NA,"152432","ZNXXWTPQHVLMQT-UHFFFAOYSA-N","InChI=1S/C11H12O4/c12-9-3-1-7(6-10(9)13)5-8-2-4-11(14)15-8/h1,3,6,8,12-13H,2,4-5H2","FOBI:030500"
"5-(3,4-dihydroxyphenyl)-γ-valerolactone 3-glucuronide","Phenol ethers",NA,NA,NA,NA,"RALBOGKBFZBDKY-UHFFFAOYSA-N","InChI=1S/C18H22O10/c19-9-3-1-7(5-8-2-4-11(20)27-8)6-10(9)28-17-12(18(25)26)13(21)14(22)15(23)16(17)24/h1,3,6,8,12-17,19,21-24H,2,4-5H2,(H,25,26)","FOBI:030501"
"5-(3,4-dihydroxyphenyl)-γ-valerolactone 4-glucuronide","Phenolic glycosides",NA,NA,NA,"124202077","OTBJYBQGMPICIK-GHPVWUPISA-N","InChI=1S/C17H20O10/c18-9-6-7(5-8-2-4-11(19)25-8)1-3-10(9)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h1,3,6,8,12-15,17-18,20-22H,2,4-5H2,(H,23,24)/t8?,12-,13-,14+,15-,17+/m1/s1","FOBI:030502"
"5-(3,4-dihydroxyphenyl)-γ-valerolactone 3-sulfate","Phenylsulfates",NA,NA,NA,NA,"YAXFVDUJDAQPTJ-UHFFFAOYSA-N","InChI=1S/C11H12O7S/c12-9-3-1-7(5-8-2-4-11(13)17-8)6-10(9)18-19(14,15)16/h1,3,6,8,12H,2,4-5H2,(H,14,15,16)","FOBI:030503"
"5-(3,5-dihydroxyphenyl)-γ-valerolactone glucuronide","Phenolic glycosides",NA,NA,NA,"124202085","RUSMDDXSDLDLKU-PHPHFFAHSA-N","InChI=1S/C17H20O10/c18-8-3-7(4-9-1-2-11(19)25-9)5-10(6-8)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h3,5-6,9,12-15,17-18,20-22H,1-2,4H2,(H,23,24)/t9?,12-,13-,14+,15-,17+/m0/s1","FOBI:030504"
"5-(3,5-dihydroxyphenyl)-γ-valerolactone sulfate","Phenylsulfates",NA,NA,NA,NA,"CVGUPVHDNVLHLW-UHFFFAOYSA-N","InChI=1S/C11H12O7S/c12-8-3-7(4-9-1-2-11(13)17-9)5-10(6-8)18-19(14,15)16/h3,5-6,9,12H,1-2,4H2,(H,14,15,16)","FOBI:030505"
"5-(3,4,5-trihydroxyphenyl)-γ-valerolactone","Pyrogallols and derivatives",NA,NA,NA,"44389277","CZVAQLJEUUFQCH-UHFFFAOYSA-N","InChI=1S/C11H12O5/c12-8-4-6(5-9(13)11(8)15)3-7-1-2-10(14)16-7/h4-5,7,12-13,15H,1-3H2","FOBI:030506"
"5-(3,4,5-trihydroxyphenyl)-γ-valerolactone 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"VQHXMQYHVVQQFP-CXWHQSFFSA-N","InChI=1S/C17H20O11/c18-8-4-6(3-7-1-2-10(19)26-7)5-9(11(8)20)27-17-14(23)12(21)13(22)15(28-17)16(24)25/h4-5,7,12-15,17-18,20-23H,1-3H2,(H,24,25)/t7?,12-,13-,14+,15-,17?/m0/s1","FOBI:030507"
"5-(3,4,5-trihydroxyphenyl)-γ-valerolactone 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"ATYNVCXMADLPJQ-YSVLGHOVSA-N","InChI=1S/C17H20O11/c18-8-4-6(3-7-1-2-10(20)26-7)5-9(19)14(8)27-17-13(23)11(21)12(22)15(28-17)16(24)25/h4-5,7,11-13,15,17-19,21-23H,1-3H2,(H,24,25)/t7?,11-,12-,13+,15-,17+/m0/s1","FOBI:030508"
"5-(3,4,5-trihydroxyphenyl)-γ-valerolactone 3-sulfate","Phenylsulfates",NA,NA,NA,NA,"OMISYDASOKPVDK-UHFFFAOYSA-N","InChI=1S/C11H12O8S/c12-8-4-6(3-7-1-2-10(13)18-7)5-9(11(8)14)19-20(15,16)17/h4-5,7,12,14H,1-3H2,(H,15,16,17)","FOBI:030509"
"5-(3,4,5-trihydroxyphenyl)-γ-valerolactone 4-sulfate","Phenylsulfates",NA,NA,NA,NA,"NPIMUIQBYBJSBB-UHFFFAOYSA-N","InChI=1S/C11H12O8S/c12-8-4-6(3-7-1-2-10(14)18-7)5-9(13)11(8)19-20(15,16)17/h4-5,7,12-13H,1-3H2,(H,15,16,17)","FOBI:030510"
"5-(3-methoxy-4-hydroxyphenyl)-γ-valerolactone","Methoxyphenols","2293832",NA,NA,"3028410","GCIFEQYZDROELP-UHFFFAOYSA-N","InChI=1S/C12H14O4/c1-15-11-7-8(2-4-10(11)13)6-9-3-5-12(14)16-9/h2,4,7,9,13H,3,5-6H2,1H3","FOBI:030511"
"5-(3-methoxy-4-hydroxyphenyl)-γ-valerolactone glucuronide","Phenolic glycosides",NA,NA,NA,NA,"NGMVEYPQYAIGEI-UHFFFAOYSA-N","InChI=1S/C18H22O10/c1-25-11-7-8(6-9-3-5-12(19)26-9)2-4-10(11)27-18-15(22)13(20)14(21)16(28-18)17(23)24/h2,4,7,9,13-16,18,20-22H,3,5-6H2,1H3,(H,23,24)","FOBI:030512"
"5-(3-methoxy-4-hydroxyphenyl)-γ-valerolactone sulfate","Phenylsulfates",NA,NA,NA,NA,"FYRRHCSCZYSADR-UHFFFAOYSA-N","InChI=1S/C12H14O7S/c1-17-11-7-8(6-9-3-5-12(13)18-9)2-4-10(11)19-20(14,15)16/h2,4,7,9H,3,5-6H2,1H3,(H,14,15,16)","FOBI:030513"
"naringenin 7-glucuronide","Flavonoid-7-O-glucuronides",NA,NA,NA,"51136360","BDCRTIDKZGEVEN-DNPGXZAYSA-N","InChI=1S/C21H20O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-6,13,16-19,21-23,25-27H,7H2,(H,28,29)/t13?,16-,17-,18+,19-,21+/m0/s1","FOBI:030515"
"hesperetin","4-O-methylated flavonoids","65234","HMDB05782","C01709","72281","AIONOLUJZLIMTK-AWEZNQCLSA-N","InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1","FOBI:030518"
"hesperetin 3-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,"46896123","PJAUEKWZQWLQSU-WDXLFLMVSA-N","InChI=1S/C22H22O12/c1-31-12-3-2-8(13-7-11(25)16-10(24)5-9(23)6-15(16)32-13)4-14(12)33-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-6,13,17-20,22-24,26-28H,7H2,1H3,(H,29,30)/t13?,17-,18-,19+,20-,22+/m0/s1","FOBI:030519"
"hesperetin 7-glucuronide","Flavonoid-7-O-glucuronides",NA,NA,NA,"71777476","NEAWXAXVQDDFJL-PLEVBHNASA-N","InChI=1S/C22H22O12/c1-31-13-3-2-8(4-10(13)23)14-7-12(25)16-11(24)5-9(6-15(16)33-14)32-22-19(28)17(26)18(27)20(34-22)21(29)30/h2-6,14,17-20,22-24,26-28H,7H2,1H3,(H,29,30)/t14?,17-,18-,19+,20-,22+/m0/s1","FOBI:030520"
"hesperetin 7-sulfate","4-O-methylated flavonoids",NA,NA,NA,NA,"SKHOIXCPISQFMS-AWEZNQCLSA-N","InChI=1S/C16H14O9S/c1-23-13-3-2-8(4-10(13)17)14-7-12(19)16-11(18)5-9(6-15(16)24-14)25-26(20,21)22/h2-6,14,17-18H,7H2,1H3,(H,20,21,22)/t14-/m0/s1","FOBI:030521"
"bergaptol glucuronide","Phenolic glycosides",NA,NA,NA,NA,"VLWJVRACXDFSKC-UHFFFAOYSA-N","InChI=1S/C17H14O10/c18-10-2-1-6-9(25-10)5-8-7(3-4-24-8)14(6)26-17-13(21)11(19)12(20)15(27-17)16(22)23/h1-5,11-13,15,17,19-21H,(H,22,23)","FOBI:030524"
"bergaptol sulfate","5-hydroxypsoralens",NA,NA,NA,NA,"MUJRAVJMPBKDAH-UHFFFAOYSA-","InChI=1S/C11H6O7S/c12-10-2-1-6-9(17-10)5-8-7(3-4-16-8)11(6)18-19(13,14)15/h1-5H,(H,13,14,15)","FOBI:030525"
"umbelliferone glucuronide","Coumarin glycosides",NA,NA,NA,"125641","PRYLPCLGPXGILY-DKBOKBLXSA-N","InChI=1S/C15H14O9/c16-9-4-2-6-1-3-7(5-8(6)23-9)22-15-12(19)10(17)11(18)13(24-15)14(20)21/h1-5,10-13,15,17-19H,(H,20,21)/t10-,11-,12+,13-,15+/m0/s1","FOBI:030526"
"umbelliferone sulfate","Coumarins and derivatives",NA,NA,NA,NA,"LJOOSFYJELZGMR-UHFFFAOYSA-M","InChI=1S/C9H6O6S/c10-9-4-2-6-1-3-7(5-8(6)14-9)15-16(11,12)13/h1-5H,(H,11,12,13)/p-1","FOBI:030527"
"daidzein 4-glucuronide","Isoflavonoid O-glycosides",NA,NA,NA,"23930394","ATUYSKUVHUPXBV-ZFORQUDYSA-N","InChI=1S/C21H18O10/c22-10-3-6-12-14(7-10)29-8-13(15(12)23)9-1-4-11(5-2-9)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030531"
"daidzein 7-glucuronide","Isoflavonoid O-glycosides","9491321",NA,NA,"11316354","MMIBOZXVZLENRZ-ZFORQUDYSA-N","InChI=1S/C21H18O10/c22-10-3-1-9(2-4-10)13-8-29-14-7-11(5-6-12(14)15(13)23)30-21-18(26)16(24)17(25)19(31-21)20(27)28/h1-8,16-19,21-22,24-26H,(H,27,28)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030532"
"daidzein diglucuronide","Isoflavonoid O-glycosides",NA,NA,NA,NA,"NSJKNMPSMHSBQD-MWBUVXCNSA-N","InChI=1S/C27H26O16/c28-15-12-6-5-11(41-27-21(34)17(30)19(32)23(43-27)25(37)38)7-14(12)39-8-13(15)9-1-3-10(4-2-9)40-26-20(33)16(29)18(31)22(42-26)24(35)36/h1-8,16-23,26-27,29-34H,(H,35,36)(H,37,38)/t16-,17-,18-,19-,20+,21+,22-,23-,26+,27+/m0/s1","FOBI:030533"
"daidzein 7-glucuronide-4-sulfate","Isoflavonoid O-glycosides",NA,NA,NA,NA,"GFHHFNZYJNKWPT-ZFORQUDYSA-N","InChI=1S/C21H18O13S/c22-15-12-6-5-11(32-21-18(25)16(23)17(24)19(33-21)20(26)27)7-14(12)31-8-13(15)9-1-3-10(4-2-9)34-35(28,29)30/h1-8,16-19,21,23-25H,(H,26,27)(H,28,29,30)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030534"
"daidzein 4-glucuronide-7-sulfate","Isoflavonoid O-glycosides",NA,NA,NA,NA,"HQYWZCFQCBVQJZ-HGMWCATMSA-N","InChI=1S/C21H18O13S/c22-15-12-6-5-11(34-35(28,29)30)7-14(12)31-8-13(15)9-1-3-10(4-2-9)32-21-18(25)16(23)17(24)19(33-21)20(26)27/h1-8,16-19,21,23-25H,(H,26,27)(H,28,29,30)/t16-,17?,18?,19-,21+/m1/s1","FOBI:030535"
"daidzein 4-sulfate","Isoflavones","13076689",NA,NA,"12114463","CQRHJEVIKOKQMO-UHFFFAOYSA-N","InChI=1S/C15H10O7S/c16-10-3-6-12-14(7-10)21-8-13(15(12)17)9-1-4-11(5-2-9)22-23(18,19)20/h1-8,16H,(H,18,19,20)","FOBI:030536"
"genistein 4-glucuronide","Isoflavonoid O-glycosides",NA,NA,NA,"45782816","NHEBJNCJBWUPCK-ZFORQUDYSA-N","InChI=1S/C21H18O11/c22-9-5-12(23)14-13(6-9)30-7-11(15(14)24)8-1-3-10(4-2-8)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030538"
"genistein 7-glucuronide","Isoflavonoid O-glycosides","13083403",NA,NA,"15940724","JIVINIISUDEORF-ZFORQUDYSA-N","InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)11-7-30-13-6-10(5-12(23)14(13)15(11)24)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030539"
"genistein diglucuronide","Isoflavonoid O-glycosides",NA,NA,NA,NA,"DFJSPRNCKDBZIJ-MWBUVXCNSA-N","InChI=1S/C27H26O17/c28-12-5-10(42-27-21(35)17(31)19(33)23(44-27)25(38)39)6-13-14(12)15(29)11(7-40-13)8-1-3-9(4-2-8)41-26-20(34)16(30)18(32)22(43-26)24(36)37/h1-7,16-23,26-28,30-35H,(H,36,37)(H,38,39)/t16-,17-,18-,19-,20+,21+,22-,23-,26+,27+/m0/s1","FOBI:030540"
"genistein 4-glucuronide-7-sulfate","Isoflavonoid O-glycosides",NA,NA,NA,NA,"SQCSMLZKGFBVFL-ZFORQUDYSA-N","InChI=1S/C21H18O14S/c22-12-5-10(35-36(29,30)31)6-13-14(12)15(23)11(7-32-13)8-1-3-9(4-2-8)33-21-18(26)16(24)17(25)19(34-21)20(27)28/h1-7,16-19,21-22,24-26H,(H,27,28)(H,29,30,31)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030541"
"genistein 7-glucuronide-4-sulfate","Isoflavonoid O-glycosides",NA,NA,NA,NA,"JZFIWABEFJYNRS-DSGPYVBMSA-L","InChI=1S/C21H18O14S.2Na/c22-12-5-10(33-21-18(26)16(24)17(25)19(34-21)20(27)28)6-13-14(12)15(23)11(7-32-13)8-1-3-9(4-2-8)35-36(29,30)31;;/h1-7,16-19,21-22,24-26H,(H,27,28)(H,29,30,31);;/q;2*+1/p-2/t16-,17-,18+,19-,21+;;/m0../s1","FOBI:030542"
"genistein 7-sulfate","Isoflavones","8466977",NA,NA,"10291508","DKEIWIJUHWVGRC-UHFFFAOYSA-N","InChI=1S/C15H10O8S/c16-9-3-1-8(2-4-9)11-7-22-13-6-10(23-24(19,20)21)5-12(17)14(13)15(11)18/h1-7,16-17H,(H,19,20,21)","FOBI:030543"
"equol 7-glucuronide","Isoflavonoid O-glycosides",NA,NA,NA,"29979359","XDPLKWRSVXUQBN-LVEHSUOCSA-N","InChI=1S/C21H22O9/c22-13-4-1-10(2-5-13)12-7-11-3-6-14(8-15(11)28-9-12)29-21-18(25)16(23)17(24)19(30-21)20(26)27/h1-6,8,12,16-19,21-25H,7,9H2,(H,26,27)/t12-,16+,17+,18-,19+,21-/m1/s1","FOBI:030545"
"equol 4-sulfate","Isoflavanols",NA,NA,NA,NA,"UXOJWGSGKUYMIA-GFCCVEGCSA-M","InChI=1S/C15H14O6S/c16-13-4-1-11-7-12(9-20-15(11)8-13)10-2-5-14(6-3-10)21-22(17,18)19/h1-6,8,12,16H,7,9H2,(H,17,18,19)/p-1/t12-/m1/s1","FOBI:030546"
"biochanin a 7-glucuronide","Isoflavonoid O-glycosides",NA,NA,NA,NA,"KXYGEGYBMOCKNJ-SXFAUFNYSA-N","InChI=1S/C22H20O11/c1-30-10-4-2-9(3-5-10)12-8-31-14-7-11(6-13(23)15(14)16(12)24)32-22-19(27)17(25)18(26)20(33-22)21(28)29/h2-8,17-20,22-23,25-27H,1H3,(H,28,29)/t17-,18-,19+,20-,22+/m0/s1","FOBI:030548"
"biochanin a 7-sulfate","4-O-methylisoflavones",NA,NA,NA,NA,"XSOANDKYUDOEER-UHFFFAOYSA-N","InChI=1S/C16H12O8S/c1-22-10-4-2-9(3-5-10)12-8-23-14-7-11(24-25(19,20)21)6-13(17)15(14)16(12)18/h2-8,17H,1H3,(H,19,20,21)","FOBI:030549"
"formononetin 7-glucuronide","Flavonoid-7-O-glucuronides",NA,NA,NA,NA,"KDULJPKZESDTFK-SXFAUFNYSA-N","InChI=1S/C22H20O10/c1-29-11-4-2-10(3-5-11)15-9-14(23)13-7-6-12(8-16(13)31-15)30-22-19(26)17(24)18(25)20(32-22)21(27)28/h2-9,17-20,22,24-26H,1H3,(H,27,28)/t17-,18-,19+,20-,22+/m0/s1","FOBI:030551"
"formononetin 7-sulfate","4-O-methylisoflavones",NA,NA,NA,NA,"DSZBEWXQBVATQX-UHFFFAOYSA-N","InChI=1S/C16H12O7S/c1-21-11-4-2-10(3-5-11)14-9-22-15-8-12(23-24(18,19)20)6-7-13(15)16(14)17/h2-9H,1H3,(H,18,19,20)","FOBI:030552"
"apigenin 7-glucuronide","Flavonoid-7-O-glucuronides","4477775",NA,NA,"5319484","JBFOLLJCGUCDQP-ZFORQUDYSA-N","InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030554"
"luteolin 7-glucuronide","Flavonoid-7-O-glucuronides","4444211",NA,"C03515","5280601","VSUOKLTVXQRUSG-ZFORQUDYSA-N","InChI=1S/C21H18O12/c22-9-2-1-7(3-10(9)23)13-6-12(25)15-11(24)4-8(5-14(15)32-13)31-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-24,26-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030557"
"quercetin 3-glucuronide","Flavonoid-3-O-glucuronides","10176995",NA,NA,"12004528","DUBCCGAQYVUYEU-UHFFFAOYSA-N","InChI=1S/C21H18O13/c22-7-4-10(25)12-11(5-7)32-17(6-1-2-8(23)9(24)3-6)18(13(12)26)33-21-16(29)14(27)15(28)19(34-21)20(30)31/h1-5,14-16,19,21-25,27-29H,(H,30,31)","FOBI:030559"
"quercetin 3-glucuronide","Flavonoid O-glucuronides",NA,NA,NA,"11655911","LBJLXDMWOKJIPQ-JENRNSKYSA-N","InChI=1S/C21H18O13/c22-7-4-9(24)12-11(5-7)32-18(15(27)13(12)25)6-1-2-8(23)10(3-6)33-21-17(29)14(26)16(28)19(34-21)20(30)31/h1-5,14,16-17,19,21-24,26-29H,(H,30,31)/t14-,16-,17+,19-,21+/m0/s1","FOBI:030560"
"quercetin 3-sulfate","Flavonols",NA,NA,NA,"21676162","OSCLBBUATYLBQA-UHFFFAOYSA-N","InChI=1S/C15H10O10S/c16-7-4-9(18)12-11(5-7)24-15(14(20)13(12)19)6-1-2-8(17)10(3-6)25-26(21,22)23/h1-5,16-18,20H,(H,21,22,23)","FOBI:030561"
"isorhamnetin 3-glucuronide","Flavonoid-3-O-glucuronides","4590613",NA,NA,"5491630","VVZWHOMBDMMRSC-NTKSAMNMSA-N","InChI=1S/C22H20O13/c1-32-11-4-7(2-3-9(11)24)18-19(14(26)13-10(25)5-8(23)6-12(13)33-18)34-22-17(29)15(27)16(28)20(35-22)21(30)31/h2-6,15-17,20,22-25,27-29H,1H3,(H,30,31)/t15-,16-,17+,20-,22+/m0/s1","FOBI:030563"
"isorhamnetin 3-sulfate","3-O-methylated flavonoids",NA,NA,NA,"44123491","CZFNXFXZXWDYMZ-UHFFFAOYSA-L","InChI=1S/C16H12O10S/c1-24-11-4-7(2-3-9(11)18)15-16(26-27(21,22)23)14(20)13-10(19)5-8(17)6-12(13)25-15/h2-6,17-19H,1H3,(H,21,22,23)/p-2","FOBI:030564"
"kaempferol 3-sulfate","Flavones",NA,NA,NA,"44259052","VOYLAWHADGDBIE-UHFFFAOYSA-N","InChI=1S/C15H10O9S/c16-8-3-1-7(2-4-8)14-15(24-25(20,21)22)13(19)12-10(18)5-9(17)6-11(12)23-14/h1-6,16-18H,(H,20,21,22)","FOBI:030567"
"phloretin glucuronide","Flavonoid O-glycosides","8065632",NA,NA,"9889961","YFJJAJIWPWXWJJ-ZFORQUDYSA-N","InChI=1S/C21H22O11/c22-10-4-1-9(2-5-10)3-6-12(24)15-13(25)7-11(23)8-14(15)31-21-18(28)16(26)17(27)19(32-21)20(29)30/h1-2,4-5,7-8,16-19,21-23,25-28H,3,6H2,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1","FOBI:030569"
"urolithin a","Coumarins and derivatives","4589709",NA,NA,"5488186","RIUPLDUFZCXCHM-UHFFFAOYSA-N","InChI=1S/C13H8O4/c14-7-1-3-9-10-4-2-8(15)6-12(10)17-13(16)11(9)5-7/h1-6,14-15H","FOBI:030570"
"urolithin b","Coumarins and derivatives","4528673",NA,NA,"5380406","WXUQMTRHPNOXBV-UHFFFAOYSA-N","InChI=1S/C13H8O3/c14-8-5-6-10-9-3-1-2-4-11(9)13(15)16-12(10)7-8/h1-7,14H","FOBI:030573"
"urolithin b glucuronide","Phenolic glycosides",NA,NA,NA,"101495881","MHBWCULXQBVPQT-KSPMYQCISA-N","InChI=1S/C19H16O9/c20-13-14(21)16(17(23)24)28-19(15(13)22)26-8-5-6-10-9-3-1-2-4-11(9)18(25)27-12(10)7-8/h1-7,13-16,19-22H,(H,23,24)/t13-,14-,15+,16-,19+/m0/s1","FOBI:030574"
"urolithin b sulfate","Coumarins and derivatives",NA,NA,NA,NA,"LRRVKQQFGIEMSA-UHFFFAOYSA-N","InChI=1S/C13H8O6S/c14-13-11-4-2-1-3-9(11)10-6-5-8(7-12(10)18-13)19-20(15,16)17/h1-7H,(H,15,16,17)","FOBI:030575"
"urolithin c","Coumarins and derivatives",NA,NA,NA,"60198001","HHXMEXZVPJFAIJ-UHFFFAOYSA-N","InChI=1S/C13H8O5/c14-6-1-2-7-8-4-10(15)11(16)5-9(8)13(17)18-12(7)3-6/h1-5,14-16H","FOBI:030576"
"urolithin c 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"DDAQYQCCOWZGDO-KSPMYQCISA-N","InChI=1S/C19H16O11/c20-10-4-8-7-2-1-6(3-12(7)29-18(27)9(8)5-11(10)21)28-19-15(24)13(22)14(23)16(30-19)17(25)26/h1-5,13-16,19-24H,(H,25,26)/t13-,14-,15+,16-,19+/m0/s1","FOBI:030577"
"urolithin c 3-sulfate","Coumarins and derivatives",NA,NA,NA,NA,"AIWPERSXONUOOZ-UHFFFAOYSA-N","InChI=1S/C13H8O8S/c14-10-4-8-7-2-1-6(21-22(17,18)19)3-12(7)20-13(16)9(8)5-11(10)15/h1-5,14-15H,(H,17,18,19)","FOBI:030578"
"tyrosol glucuronide","Phenolic glycosides",NA,NA,NA,NA,"HEIHXCBRTPYOMU-BYNIDDHOSA-N","InChI=1S/C14H18O8/c15-6-5-7-1-3-8(4-2-7)21-14-11(18)9(16)10(17)12(22-14)13(19)20/h1-4,9-12,14-18H,5-6H2,(H,19,20)/t9-,10-,11+,12-,14+/m0/s1","FOBI:030580"
"tyrosol sulfate","Phenylsulfates",NA,NA,NA,NA,"VCRXMIQBQGCAAL-UHFFFAOYSA-N","InChI=1S/C8H10O5S/c9-6-5-7-1-3-8(4-2-7)13-14(10,11)12/h1-4,9H,5-6H2,(H,10,11,12)","FOBI:030581"
"hydroxytyrosol 3-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"CPHMFZSEPDNJAZ-BYNIDDHOSA-N","InChI=1S/C14H18O9/c15-4-3-6-1-2-7(16)8(5-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-2,5,9-12,14-19H,3-4H2,(H,20,21)/t9-,10-,11+,12-,14+/m0/s1","FOBI:030583"
"hydroxytyrosol 4-glucuronide","Phenolic glycosides",NA,NA,NA,NA,"JMDNSUMWVYKARS-BYNIDDHOSA-N","InChI=1S/C14H18O9/c15-4-3-6-1-2-8(7(16)5-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-2,5,9-12,14-19H,3-4H2,(H,20,21)/t9-,10-,11+,12-,14+/m0/s1","FOBI:030584"
"hydroxytyrosol 3-sulfate","Phenylsulfates",NA,NA,NA,"71749404","BZTHVCCNFBAISK-UHFFFAOYSA-N","InChI=1S/C8H10O6S/c9-4-3-6-1-2-7(10)8(5-6)14-15(11,12)13/h1-2,5,9-10H,3-4H2,(H,11,12,13)","FOBI:030585"
