Entity;Type;Superclass(es);ChemSpider;HMDB;KEGG;PubChemCID;InChIKey;InChICode;FOBI;rdfs:label;
Tannins;Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040032'";"'Tannins'";
'Fatty Acyls';Class;'Lipids and lipid-like molecules';;;;;;;"'FOBI:040033'";"'Fatty Acyls'";
'Indoles and derivatives';Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040034'";"'Indoles and derivatives'";
'Dibenzylbutane lignans';Class;'Lignans, neolignans and related compounds';;;;;;;"'FOBI:040035'";"'Dibenzylbutane lignans'";
'Sulfamic acid derivatives';Class;'Organic acids and derivatives';;;;;;;"'FOBI:040036'";"'Sulfamic acid derivatives'";
'Furanoid lignans';Class;'Lignans, neolignans and related compounds';;;;;;;"'FOBI:040037'";"'Furanoid lignans'";
'Steroids and steroid derivatives';Class;'Lipids and lipid-like molecules';;;;;;;"'FOBI:040038'";"'Steroids and steroid derivatives'";
Sulfoxides;Class;'Organosulfur compounds';;;;;;;"'FOBI:040039'";"'Sulfoxides'";
'Allyl sulfur compounds';Class;'Organosulfur compounds';;;;;;;"'FOBI:040040'";"'Allyl sulfur compounds'";
'Organonitrogen compounds';Class;'Organic nitrogen compounds';;;;;;;"'FOBI:040041'";"'Organonitrogen compounds'";
'Pyridines and derivatives';Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040042'";"'Pyridines and derivatives'";
'Phenol ethers';Class;Benzenoids;;;;;;;"'FOBI:040043'";"'Phenol ethers'";
Diazines;Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040044'";"'Diazines'";
'Organometalloid compounds';Class;'Organometallic compounds';;;;;;;"'FOBI:040045'";"'Organometalloid compounds'";
Dihydrofurans;Class;'Organoheterocyclic compounds';;;;;;;"'FOBI:040046'";"'Dihydrofurans'";
'Linear 1,3-diarylpropanoids';Class;'Phenylpropanoids and polyketides';;;;;;;"'FOBI:040047'";"'Linear 1,3-diarylpropanoids'";
Sulfonyls;Class;'Organosulfur compounds';;;;;;;"'FOBI:040048'";"'Sulfonyls'";
'Organic sulfonic acids and derivatives';Class;'Organic acids and derivatives';;;;;;;"'FOBI:040049'";"'Organic sulfonic acids and derivatives'";
'Flavonoid glycosides';Class;Flavonoids;;;;;;;"'FOBI:040050'";"'Flavonoid glycosides'";
Isoflavans;Class;Isoflavonoids;;;;;;;"'FOBI:040051'";"'Isoflavans'";
Anilides;Class;'Benzene and substituted derivatives';;;;;;;"'FOBI:040052'";"'Anilides'";
'Carbohydrates and carbohydrate conjugates';Class;'Organooxygen compounds';;;;;;;"'FOBI:040053'";"'Carbohydrates and carbohydrate conjugates'";
'O-methylated flavonoids';Class;Flavonoids;;;;;;;"'FOBI:040054'";"'O-methylated flavonoids'";
'Benzoic acids and derivatives';Class;'Benzene and substituted derivatives';;;;;;;"'FOBI:040055'";"'Benzoic acids and derivatives'";
Tetraterpenoids;Class;'Prenol lipids';;;;;;;"'FOBI:040056'";"'Tetraterpenoids'";
Arylsulfates;Class;'Organic sulfuric acids and derivatives';;;;;;;"'FOBI:040057'";"'Arylsulfates'";
'Coumarin glycosides';Class;'Coumarins and derivatives';;;;;;;"'FOBI:040058'";"'Coumarin glycosides'";
Benzoxazolones;Class;Benzoxazoles;;;;;;;"'FOBI:040059'";"'Benzoxazolones'";
'Isoflavonoid O-glycosides';Class;Isoflavonoids;;;;;;;"'FOBI:040060'";"'Isoflavonoid O-glycosides'";
Flavans;Class;Flavonoids;;;;;;;"'FOBI:040061'";"'Flavans'";
Benzenediols;Class;Phenols;;;;;;;"'FOBI:040062'";"'Benzenediols'";
'Beta hydroxy acids and derivatives';Class;'Hydroxy acids and derivatives';;;;;;;"'FOBI:040063'";"'Beta hydroxy acids and derivatives'";
'Linear diarylheptanoids';Class;Diarylheptanoids;;;;;;;"'FOBI:040064'";"'Linear diarylheptanoids'";
'Amino acids, peptides, and analogues';Class;'Carboxylic acids and derivatives';;;;;;;"'FOBI:040065'";"'Amino acids, peptides, and analogues'";
'Benzenetriols and derivatives';Class;Phenols;;;;;;;"'FOBI:040066'";"'Benzenetriols and derivatives'";
'Hydroxycinnamic acids and derivatives';Class;'Cinnamic acids and derivatives';;;;;;;"'FOBI:040067'";"'Hydroxycinnamic acids and derivatives'";
'Purines and purine derivatives';Class;Imidazopyrimidines;;;;;;;"'FOBI:040068'";"'Purines and purine derivatives'";
'Phenylacetic acids';Class;'Benzene and substituted derivatives';;;;;;;"'FOBI:040069'";"'Phenylacetic acids'";
'Aniline and substituted anilines';Class;'Benzene and substituted derivatives';;;;;;;"'FOBI:040070'";"'Aniline and substituted anilines'";
'Stilbene glycosides';Class;Stilbenes;;;;;;;"'FOBI:040071'";"'Stilbene glycosides'";
Benzoxazinones;Class;Benzoxazines;;;;;;;"'FOBI:040072'";"'Benzoxazinones'";
'Hybrid peptides';Class;Peptidomimetics;;;;;;;"'FOBI:040073'";"'Hybrid peptides'";
Isoflav-2-enes;Class;Isoflavonoids;;;;;;;"'FOBI:040074'";"'Isoflav-2-enes'";
'Alcohols and polyols';Class;'Organooxygen compounds';;;;;;;"'FOBI:040075'";"'Alcohols and polyols'";
'Hydrolyzable tannins';Class;Tannins;;;;;;;"'FOBI:040076'";"'Hydrolyzable tannins'";
'Lineolic acids and derivatives';Class;'Fatty Acyls';;;;;;;"'FOBI:040077'";"'Lineolic acids and derivatives'";
'Indolyl carboxylic acids and derivatives';Class;'Indoles and derivatives';;;;;;;"'FOBI:040078'";"'Indolyl carboxylic acids and derivatives'";
'Dibenzylbutanediol lignans';Class;'Dibenzylbutane lignans';;;;;;;"'FOBI:040079'";"'Dibenzylbutanediol lignans'";
'1-hydroxy-4-unsubstituted benzenoids';Class;Phenols;;;;;;;"'FOBI:040080'";"'1-hydroxy-4-unsubstituted benzenoids'";
Methoxyphenols;Class;Phenols;;;;;;;"'FOBI:040081'";"'Methoxyphenols'";
Furanocoumarins;Class;'Coumarins and derivatives';;;;;;;"'FOBI:040082'";"'Furanocoumarins'";
Cyclamates;Class;'Sulfamic acid derivatives';;;;;;;"'FOBI:040083'";"'Cyclamates'";
'O-methylated isoflavonoids';Class;Isoflavonoids;;;;;;;"'FOBI:040084'";"'O-methylated isoflavonoids'";
'Fatty acids and conjugates';Class;'Fatty Acyls';;;;;;;"'FOBI:040085'";"'Fatty acids and conjugates'";
'Tetrahydrofuran lignans';Class;'Furanoid lignans';;;;;;;"'FOBI:040086'";"'Tetrahydrofuran lignans'";
'Carbonyl compounds';Class;'Organooxygen compounds';;;;;;;"'FOBI:040087'";"'Carbonyl compounds'";
Flavones;Class;Flavonoids;;;;;;;"'FOBI:040088'";"'Flavones'";
Cresols;Class;Phenols;;;;;;;"'FOBI:040089'";"'Cresols'";
'Medium-chain hydroxy acids and derivatives';Class;'Hydroxy acids and derivatives';;;;;;;"'FOBI:040090'";"'Medium-chain hydroxy acids and derivatives'";
'Tyrosols and derivatives';Class;Phenols;;;;;;;"'FOBI:040091'";"'Tyrosols and derivatives'";
'Steroidal alkaloids';Class;'Steroids and steroid derivatives';;;;;;;"'FOBI:040092'";"'Steroidal alkaloids'";
'Sulfuric acid esters';Class;'Organic sulfuric acids and derivatives';;;;;;;"'FOBI:040093'";"'Sulfuric acid esters'";
'Tricarboxylic acids and derivatives';Class;'Carboxylic acids and derivatives';;;;;;;"'FOBI:040094'";"'Tricarboxylic acids and derivatives'";
Triterpenoids;Class;'Prenol lipids';;;;;;;"'FOBI:040095'";"'Triterpenoids'";
'1-hydroxy-2-unsubstituted benzenoids';Class;Phenols;;;;;;;"'FOBI:040096'";"'1-hydroxy-2-unsubstituted benzenoids'";
'Cinnamic acids';Class;'Cinnamic acids and derivatives';;;;;;;"'FOBI:040097'";"'Cinnamic acids'";
'Quaternary ammonium salts';Class;'Organonitrogen compounds';;;;;;;"'FOBI:040098'";"'Quaternary ammonium salts'";
Methylpyridines;Class;'Pyridines and derivatives';;;;;;;"'FOBI:040099'";"'Methylpyridines'";
'Fatty acid esters';Class;'Fatty Acyls';;;;;;;"'FOBI:040100'";"'Fatty acid esters'";
'Pyrimidines and pyrimidine derivatives';Class;Diazines;;;;;;;"'FOBI:040101'";"'Pyrimidines and pyrimidine derivatives'";
'Terpene glycosides';Class;'Prenol lipids';;;;;;;"'FOBI:040102'";"'Terpene glycosides'";
Diterpenoids;Class;'Prenol lipids';;;;;;;"'FOBI:040103'";"'Diterpenoids'";
'Organoarsenic compounds';Class;'Organometalloid compounds';;;;;;;"'FOBI:040104'";"'Organoarsenic compounds'";
'Steroidal glycosides';Class;'Steroids and steroid derivatives';;;;;;;"'FOBI:040105'";"'Steroidal glycosides'";
Furanones;Class;Dihydrofurans;;;;;;;"'FOBI:040106'";"'Furanones'";
Aminoxides;Class;'Organonitrogen compounds';;;;;;;"'FOBI:040107'";"'Aminoxides'";
'Chalcones and dihydrochalcones';Class;'Linear 1,3-diarylpropanoids';;;;;;;"'FOBI:040108'";"'Chalcones and dihydrochalcones'";
Sulfones;Class;Sulfonyls;;;;;;;"'FOBI:040109'";"'Sulfones'";
'Biflavonoids and polyflavonoids';Class;Flavonoids;;;;;;;"'FOBI:040110'";"'Biflavonoids and polyflavonoids'";
'Organosulfonic acids and derivatives';Class;'Organic sulfonic acids and derivatives';;;;;;;"'FOBI:040111'";"'Organosulfonic acids and derivatives'";
N-arylamides;Class;'Organonitrogen compounds';;;;;;;"'FOBI:040112'";"'N-arylamides'";
'Flavonoid O-glycosides';Class;'Flavonoid glycosides';;;;;;;"'FOBI:040113'";"'Flavonoid O-glycosides'";
Isoflavanols;Class;Isoflavans;;;;;;;"'FOBI:040114'";"'Isoflavanols'";
Acetanilides;Class;Anilides;;;;;;;"'FOBI:040115'";"'Acetanilides'";
'Glycosyl compounds';Class;'Carbohydrates and carbohydrate conjugates';;;;;;;"'FOBI:040116'";"'Glycosyl compounds'";
'4'-O-methylated flavonoids';Class;'O-methylated flavonoids';;;;;;;"'FOBI:040117'";"'4'-O-methylated flavonoids'";
'Hydroxybenzoic acid derivatives';Class;'Benzoic acids and derivatives';;;;;;;"'FOBI:040118'";"'Hydroxybenzoic acid derivatives'";
Carotenoids;Class;Tetraterpenoids;;;;;;;"'FOBI:040119'";"'Carotenoids'";
Phenylsulfates;Class;Arylsulfates;;;;;;;"'FOBI:040120'";"'Phenylsulfates'";
Flavan-3-ols;Class;Flavans;;;;;;;"'FOBI:040121'";"'Flavan-3-ols'";
Resorcinols;Class;Benzenediols;;;;;;;"'FOBI:040122'";"'Resorcinols'";
Curcuminoids;Class;'Linear diarylheptanoids';;;;;;;"'FOBI:040123'";"'Curcuminoids'";
'Amino acids and derivatives';Class;'Amino acids, peptides, and analogues';;;;;;;"'FOBI:040124'";"'Amino acids and derivatives'";
'Phloroglucinols and derivatives';Class;'Benzenetriols and derivatives';;;;;;;"'FOBI:040125'";"'Phloroglucinols and derivatives'";
'Coumaric acids and derivatives';Class;'Hydroxycinnamic acids and derivatives';;;;;;;"'FOBI:040126'";"'Coumaric acids and derivatives'";
Xanthines;Class;'Purines and purine derivatives';;;;;;;"'FOBI:040127'";"'Xanthines'";
'2(hydroxyphenyl)acetic acids';Class;'Phenylacetic acids';;;;;;;"'FOBI:040128'";"'2(hydroxyphenyl)acetic acids'";
Catechols;Class;Benzenediols;;;;;;;"'FOBI:040129'";"'Catechols'";
Isoflavones;Class;Isoflav-2-enes;;;;;;;"'FOBI:040130'";"'Isoflavones'";
'Cyclic alcohols and derivatives';Class;'Alcohols and polyols';;;;;;;"'FOBI:040131'";"'Cyclic alcohols and derivatives'";
'3'-O-methylated flavonoids';Class;'O-methylated flavonoids';;;;;;;"'FOBI:040132'";"'3'-O-methylated flavonoids'";
'Pyrogallols and derivatives';Class;'Benzenetriols and derivatives';;;;;;;"'FOBI:040133'";"'Pyrogallols and derivatives'";
'Secondary alcohols';Class;'Alcohols and polyols';;;;;;;"'FOBI:040134'";"'Secondary alcohols'";
'Indole-3-acetic acid derivatives';Class;'Indolyl carboxylic acids and derivatives';;;;;;;"'FOBI:040135'";"'Indole-3-acetic acid derivatives'";
'Sugar acids and derivatives';Class;'Carbohydrates and carbohydrate conjugates';;;;;;;"'FOBI:040136'";"'Sugar acids and derivatives'";
Flavanones;Class;Flavans;;;;;;;"'FOBI:040137'";"'Flavanones'";
'Linear furanocoumarins';Class;Furanocoumarins;;;;;;;"'FOBI:040138'";"'Linear furanocoumarins'";
'4'-O-methylated isoflavonoids';Class;'O-methylated isoflavonoids';;;;;;;"'FOBI:040139'";"'4'-O-methylated isoflavonoids'";
'Sulfated fatty acids';Class;'Fatty acids and conjugates';;;;;;;"'FOBI:040140'";"'Sulfated fatty acids'";
9,9'-epoxylignans;Class;'Tetrahydrofuran lignans';;;;;;;"'FOBI:040141'";"'9,9'-epoxylignans'";
Aldehydes;Class;'Carbonyl compounds';;;;;;;"'FOBI:040142'";"'Aldehydes'";
'Para cresols';Class;Cresols;;;;;;;"'FOBI:040143'";"'Para cresols'";
Flavonols;Class;Flavones;;;;;;;"'FOBI:040144'";"'Flavonols'";
'Long-chain fatty acids';Class;'Fatty acids and conjugates';;;;;;;"'FOBI:040145'";"'Long-chain fatty acids'";
Tyrosols;Class;'Tyrosols and derivatives';;;;;;;"'FOBI:040146'";"'Tyrosols'";
'Solanidines and derivatives';Class;'Steroidal alkaloids';;;;;;;"'FOBI:040147'";"'Solanidines and derivatives'";
'Sulfuric acid monoesters';Class;'Sulfuric acid esters';;;;;;;"'FOBI:040148'";"'Sulfuric acid monoesters'";
'Hydroxycinnamic acids';Class;'Hydroxycinnamic acids and derivatives';;;;;;;"'FOBI:040149'";"'Hydroxycinnamic acids'";
'Methoxybenzoic acids and derivatives';Class;'Benzoic acids and derivatives';;;;;;;"'FOBI:040150'";"'Methoxybenzoic acids and derivatives'";
Benzamides;Class;'Benzoic acids and derivatives';;;;;;;"'FOBI:040151'";"'Benzamides'";
'Very long-chain fatty acids';Class;'Fatty acids and conjugates';;;;;;;"'FOBI:040152'";"'Very long-chain fatty acids'";
Carnitines;Class;'Quaternary ammonium salts';;;;;;;"'FOBI:040153'";"'Carnitines'";
'N-methylpyridinium compounds';Class;Methylpyridines;;;;;;;"'FOBI:040154'";"'N-methylpyridinium compounds'";
'Acyl carnitines';Class;'Fatty acid esters';;;;;;;"'FOBI:040155'";"'Acyl carnitines'";
Hydroxypyrimidines;Class;'Pyrimidines and pyrimidine derivatives';;;;;;;"'FOBI:040156'";"'Hydroxypyrimidines'";
'Acyclic diterpenoids';Class;Diterpenoids;;;;;;;"'FOBI:040157'";"'Acyclic diterpenoids'";
Peptides;Class;'Amino acids, peptides, and analogues';;;;;;;"'FOBI:040158'";"'Peptides'";
Monosaccharides;Class;'Carbohydrates and carbohydrate conjugates';;;;;;;"'FOBI:040159'";"'Monosaccharides'";
'Tetraorganoarsonium salts';Class;'Organoarsenic compounds';;;;;;;"'FOBI:040160'";"'Tetraorganoarsonium salts'";
'Steroidal saponins';Class;'Steroidal glycosides';;;;;;;"'FOBI:040161'";"'Steroidal saponins'";
'Trialkyl amine oxides';Class;Aminoxides;;;;;;;"'FOBI:040162'";"'Trialkyl amine oxides'";
2'-Hydroxy-dihydrochalcones;Class;'Chalcones and dihydrochalcones';;;;;;;"'FOBI:040163'";"'2'-Hydroxy-dihydrochalcones'";
'Heterocyclic fatty acids';Class;'Fatty acids and conjugates';;;;;;;"'FOBI:040164'";"'Heterocyclic fatty acids'";
'Organosulfonic acids';Class;'Organosulfonic acids and derivatives';;;;;;;"'FOBI:040165'";"'Organosulfonic acids'";
N-acetylarylamines;Class;N-arylamides;;;;;;;"'FOBI:040166'";"'N-acetylarylamines'";
'Spirosolanes and derivatives';Class;'Steroidal alkaloids';;;;;;;"'FOBI:040167'";"'Spirosolanes and derivatives'";
'8-prenylated flavans';Class;Flavans;;;;;;;"'FOBI:040168'";"'8-prenylated flavans'";
Anthocyanins;Class;'Flavonoid O-glycosides';;;;;;;"'FOBI:040169'";"'Anthocyanins'";
'Phenolic glycosides';Class;'Glycosyl compounds';;;;;;;"'FOBI:040170'";"'Phenolic glycosides'";
'Salicylic acid and derivatives';Class;'Hydroxybenzoic acid derivatives';;;;;;;"'FOBI:040171'";"'Salicylic acid and derivatives'";
Carotenes;Class;Carotenoids;;;;;;;"'FOBI:040172'";"'Carotenes'";
'C-glycosyl compounds';Class;'Glycosyl compounds';;;;;;;"'FOBI:040173'";"'C-glycosyl compounds'";
Catechins;Class;Flavan-3-ols;;;;;;;"'FOBI:040174'";"'Catechins'";
'Flavonoid O-glucuronides';Class;'Flavonoid O-glycosides';;;;;;;"'FOBI:040175'";"'Flavonoid O-glucuronides'";
'Alpha amino acids and derivatives';Class;'Amino acids and derivatives';;;;;;;"'FOBI:040176'";"'Alpha amino acids and derivatives'";
'Acylphloroglucinols and derivatives';Class;'Phloroglucinols and derivatives';;;;;;;"'FOBI:040177'";"'Acylphloroglucinols and derivatives'";
'Coumaric acids';Class;'Coumaric acids and derivatives';;;;;;;"'FOBI:040178'";"'Coumaric acids'";
'Cyclitols and derivatives';Class;'Cyclic alcohols and derivatives';;;;;;;"'FOBI:040179'";"'Cyclitols and derivatives'";
'O-glycosyl compounds';Class;'Glycosyl compounds';;;;;;;"'FOBI:040180'";"'O-glycosyl compounds'";
Xanthophylls;Class;Carotenoids;;;;;;;"'FOBI:040181'";"'Xanthophylls'";
'Gallic acid and derivatives';Class;'Hydroxybenzoic acid derivatives';;;;;;;"'FOBI:040182'";"'Gallic acid and derivatives'";
Cyclohexanols;Class;'Secondary alcohols';;;;;;;"'FOBI:040183'";"'Cyclohexanols'";
Psoralens;Class;'Linear furanocoumarins';;;;;;;"'FOBI:040184'";"'Psoralens'";
4'-O-methylisoflavones;Class;'4'-O-methylated isoflavonoids';;;;;;;"'FOBI:040185'";"'4'-O-methylisoflavones'";
'Dibenzylbutyrolactone lignans';Class;9,9'-epoxylignans;;;;;;;"'FOBI:040186'";"'Dibenzylbutyrolactone lignans'";
Aryl-aldehydes;Class;Aldehydes;;;;;;;"'FOBI:040187'";"'Aryl-aldehydes'";
'Glucuronic acid derivatives';Class;'Sugar acids and derivatives';;;;;;;"'FOBI:040188'";"'Glucuronic acid derivatives'";
'P-methoxybenzoic acids and derivatives';Class;'Methoxybenzoic acids and derivatives';;;;;;;"'FOBI:040189'";"'P-methoxybenzoic acids and derivatives'";
'Hippuric acids and derivatives';Class;Benzamides;;;;;;;"'FOBI:040190'";"'Hippuric acids and derivatives'";
Oligopeptides;Class;Peptides;;;;;;;"'FOBI:040191'";"'Oligopeptides'";
Hexoses;Class;Monosaccharides;;;;;;;"'FOBI:040192'";"'Hexoses'";
'M-methoxybenzoic acids and derivatives';Class;'Methoxybenzoic acids and derivatives';;;;;;;"'FOBI:040193'";"'M-methoxybenzoic acids and derivatives'";
'Beta amino acids and derivatives';Class;'Amino acids and derivatives';;;;;;;"'FOBI:040194'";"'Beta amino acids and derivatives'";
'Furanoid fatty acids';Class;'Heterocyclic fatty acids';;;;;;;"'FOBI:040195'";"'Furanoid fatty acids'";
'5-unsubstituted pyrrogallols';Class;'Pyrogallols and derivatives';;;;;;;"'FOBI:040196'";"'5-unsubstituted pyrrogallols'";
'8-prenylated flavanones';Class;'8-prenylated flavans';;;;;;;"'FOBI:040197'";"'8-prenylated flavanones'";
Anthocyanidin-3-O-glycosides;Class;Anthocyanins;;;;;;;"'FOBI:040198'";"'Anthocyanidin-3-O-glycosides'";
'Salicylic acids';Class;'Salicylic acid and derivatives';;;;;;;"'FOBI:040199'";"'Salicylic acids'";
Flavonoid-7-O-glucuronides;Class;'Flavonoid O-glucuronides';;;;;;;"'FOBI:040200'";"'Flavonoid-7-O-glucuronides'";
'Histidine and derivatives';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040201'";"'Histidine and derivatives'";
'Alanine and derivatives';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040202'";"'Alanine and derivatives'";
'N-acyl-alpha amino acids and derivatives';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040203'";"'N-acyl-alpha amino acids and derivatives'";
'Proline and derivatives';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040204'";"'Proline and derivatives'";
'Phenylalanine and derivatives';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040205'";"'Phenylalanine and derivatives'";
'Quinic acids and derivatives';Class;'Cyclitols and derivatives';;;;;;;"'FOBI:040206'";"'Quinic acids and derivatives'";
Flavonoid-3-O-glucuronides;Class;'Flavonoid O-glucuronides';;;;;;;"'FOBI:040207'";"'Flavonoid-3-O-glucuronides'";
5-hydroxypsoralens;Class;Psoralens;;;;;;;"'FOBI:040208'";"'5-hydroxypsoralens'";
Benzaldehydes;Class;Aryl-aldehydes;;;;;;;"'FOBI:040209'";"'Benzaldehydes'";
'Cysteine and derivatives';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040210'";"'Cysteine and derivatives'";
'Inositol phosphates';Class;'Cyclitols and derivatives';;;;;;;"'FOBI:040211'";"'Inositol phosphates'";
Glucuronides;Class;'Glucuronic acid derivatives';;;;;;;"'FOBI:040212'";"'Glucuronides'";
'Gallic acids';Class;'Gallic acid and derivatives';;;;;;;"'FOBI:040213'";"'Gallic acids'";
'Hippuric acids';Class;'Hippuric acids and derivatives';;;;;;;"'FOBI:040214'";"'Hippuric acids'";
'Catechin gallates';Class;Catechins;;;;;;;"'FOBI:040215'";"'Catechin gallates'";
'Tyrosine and derivatives';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040216'";"'Tyrosine and derivatives'";
'Galloyl esters';Class;'Gallic acid and derivatives';;;;;;;"'FOBI:040217'";"'Galloyl esters'";
Epigallocatechins;Class;Catechins;;;;;;;"'FOBI:040218'";"'Epigallocatechins'";
'Alpha amino acids';Class;'Alpha amino acids and derivatives';;;;;;;"'FOBI:040219'";"'Alpha amino acids'";
'Kaurane diterpenoids';Class;Diterpenoids;;;;;;;"'FOBI:040221'";"'Kaurane diterpenoids'";
'Vegetarian dishes';Class;'food (ready-to-serve)';;;;;;;"'FOBI:040222'";"'Vegetarian dishes'";
'Non vegetarian dishes';Class;'food (ready-to-serve)';;;;;;;"'FOBI:040223'";"'Non vegetarian dishes'";
'Cold sauces';Class;sauce;;;;;;;"'FOBI:040225'";"'Cold sauces'";
'Other prepared foods';Class;'multi-component food';;;;;;;"'FOBI:040229'";"'Other prepared foods'";
'enterolactone 3''-glucuronide';Class;'Phenolic glycosides';;;;;"'YPASCVZALRQWQG-YROROSIDSA-N'";"'InChI=1S/C24H26O10/c25-15-5-1-3-13(8-15)10-17-14(11-32-23(17)31)7-12-4-2-6-16(9-12)33-24-20(28)18(26)19(27)21(34-24)22(29)30/h1-6,8-9,14,17-21,24-28H,7,10-11H2,(H,29,30)/t14-,17?,18+,19?,20?,21+,24?/m1/s1'";"'FOBI:040239'";"'enterolactone 3''-glucuronide'";
'enterolactone 3''-sulfate';Class;'Dibenzylbutyrolactone lignans';;;;;"'SPRPHXPXKOEYDB-XPCCGILXSA-N'";"'InChI=1S/C18H18O7S/c19-15-5-1-3-13(8-15)10-17-14(11-24-18(17)20)7-12-4-2-6-16(9-12)25-26(21,22)23/h1-6,8-9,14,17,19H,7,10-11H2,(H,21,22,23)/t14-,17?/m1/s1'";"'FOBI:040240'";"'enterolactone 3''-sulfate'";
'ethylgallate 4-sulfate';Class;'Gallic acid and derivatives';;;;;"'MCMHLNUFWOHPQE-UHFFFAOYSA-N'";"'InChI=1S/C9H10O8S/c1-2-16-9(12)5-3-6(10)8(7(11)4-5)17-18(13,14)15/h3-4,10-11H,2H2,1H3,(H,13,14,15)'";"'FOBI:040241'";"'ethylgallate 4-sulfate'";
'ethylgallate 4-glucuronide';Class;'Hydrolyzable tannins';;;;;"'ZHTVVEZJLVVZOT-YGMDGNCASA-N'";"'InChI=1S/C15H18O11/c1-2-24-14(23)5-3-6(16)11(7(17)4-5)25-15-10(20)8(18)9(19)12(26-15)13(21)22/h3-4,8-10,12,15-20H,2H2,1H3,(H,21,22)/t8-,9-,10+,12-,15+/m0/s1'";"'FOBI:040242'";"'ethylgallate 4-glucuronide'";
'Coca Cola Zero';Class;'soft drink (dietetic)';;;;;;;"'FOBI:07501'";"'Coca Cola Zero'";
'Coca Cola Light';Class;'soft drink (dietetic)';;;;;;;"'FOBI:07502'";"'Coca Cola Light'";
'Pepsi Max';Class;'soft drink (dietetic)';;;;;;;"'FOBI:07503'";"'Pepsi Max'";
'Coca Cola';Class;'soft drink';;;;;;;"'FOBI:07504'";"'Coca Cola'";
Pepsi;Class;'soft drink';;;;;;;"'FOBI:07505'";"'Pepsi'";
Fanta;Class;'soft drink';;;;;;;"'FOBI:07506'";"'Fanta'";
'whole bread';Class;'Whole grain cereal products';;;;;;;"'FOBI:07510'";"'whole bread'";
'whole toast';Class;'Whole grain cereal products';;;;;;;"'FOBI:07511'";"'whole toast'";
pint;Class;beer;;;;;;;"'FOBI:07518'";"'pint'";
crisp;Class;'potato (whole, raw)';;;;;;;"'FOBI:07522'";"'crisp'";
'wholemeal bread';Class;'Whole grain cereal products';;;;;;;"'FOBI:07524'";"'wholemeal bread'";
'diet coke';Class;'Coca Cola Zero';;;;;;;"'FOBI:07527'";"'diet coke'";
weetabix;Class;wholegrain;;;;;;;"'FOBI:07528'";"'weetabix'";
philadelphia;Class;'cream cheese';;;;;;;"'FOBI:07550'";"'philadelphia'";
wholemeal;Class;'Whole grain cereal products';;;;;;;"'FOBI:07572'";"'wholemeal'";
raki;Class;'beverage (alcoholic, distilled)';;;;;;;"'FOBI:07581'";"'raki'";
'zero coke';Class;'Coca Cola Zero';;;;;;;"'FOBI:07584'";"'zero coke'";
coke;Class;'Coca Cola';;;;;;;"'FOBI:07585'";"'coke'";
'3'-methylcatechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';;;;;"'OQBMUBCLLAWJHJ-PYSZTQAZSA-N'";"'InChI=1S/C22H24O12/c1-31-15-4-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)2-3-13(15)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19+,20+,22-/m1/s1'";"'FOBI:08566'";"'3'-methylcatechin 4'-glucuronide'";
'3'-methylcatechin 5-glucuronide';Class;'Flavonoid O-glucuronides';;;;;"'WMVRRRYTJXAVND-CNDVCMBASA-N'";"'InChI=1S/C22H24O12/c1-31-15-4-8(2-3-11(15)24)19-12(25)7-10-13(32-19)5-9(23)6-14(10)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16-,17-,18+,19+,20-,22+/m0/s1'";"'FOBI:08567'";"'3'-methylcatechin 5-glucuronide'";
'3'-methylepicatechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';;;;;"'OQBMUBCLLAWJHJ-FDRKUGEKSA-N'";"'InChI=1S/C22H24O12/c1-31-15-4-8(19-12(25)7-10-11(24)5-9(23)6-14(10)32-19)2-3-13(15)33-22-18(28)16(26)17(27)20(34-22)21(29)30/h2-6,12,16-20,22-28H,7H2,1H3,(H,29,30)/t12-,16+,17+,18-,19-,20+,22-/m1/s1'";"'FOBI:08568'";"'3'-methylepicatechin 4'-glucuronide'";
